,Mom   
19500501,   0.00
19500502,  -0.34
19500503,   0.56
19500504,  -0.75
19500505,   0.06
19500506,   0.33
19500508,  -0.45
19500509,  -0.15
19500510,  -0.26
19500511,  -0.49
19500512,  -0.29
19500513,   0.19
19500515,   0.48
19500516,   0.54
19500517,   0.04
19500518,  -0.06
19500519,   0.19
19500520,  -0.06
19500522,  -0.21
19500523,   0.31
19500524,  -0.05
19500525,   0.03
19500526,   0.04
19500527,   0.07
19500529,   0.27
19500531,   0.39
19500601,   0.10
19500602,  -0.09
19500605,  -0.68
19500606,   1.08
19500607,   0.20
19500608,   0.25
19500609,   0.84
19500612,   0.31
19500613,  -0.23
19500614,  -0.71
19500615,   0.12
19500616,   0.26
19500619,  -0.37
19500620,  -0.25
19500621,   0.52
19500622,   0.38
19500623,  -0.15
19500626,  -3.17
19500627,   0.28
19500628,   0.69
19500629,  -1.96
19500630,   1.02
19500703,  -0.57
19500705,   0.30
19500706,   0.49
19500707,  -1.10
19500710,  -0.57
19500711,  -1.23
19500712,  -1.52
19500713,  -0.02
19500714,   0.74
19500717,  -0.60
19500718,   1.67
19500719,   0.96
19500720,   0.33
19500721,  -0.43
19500724,  -0.85
19500725,  -0.86
19500726,   0.17
19500727,  -0.06
19500728,   0.22
19500731,   0.88
19500801,   0.45
19500802,  -0.13
19500803,   0.19
19500804,   0.10
19500807,   0.55
19500808,   0.45
19500809,   0.39
19500810,  -0.15
19500811,  -0.23
19500814,   0.19
19500815,   0.06
19500816,   0.27
19500817,   0.46
19500818,  -0.17
19500821,  -0.36
19500822,  -0.22
19500823,   0.45
19500824,  -0.26
19500825,  -0.35
19500828,   0.03
19500829,   0.20
19500830,  -0.07
19500831,  -0.07
19500901,   0.23
19500905,  -0.09
19500906,  -0.21
19500907,   0.27
19500908,   0.14
19500911,  -0.39
19500912,   0.72
19500913,   0.24
19500914,  -0.01
19500915,  -0.19
19500918,  -0.47
19500919,  -0.25
19500920,  -0.51
19500921,   0.22
19500922,   0.10
19500925,  -0.59
19500926,  -1.04
19500927,   0.48
19500928,  -0.11
19500929,  -0.04
19501002,   0.58
19501003,   0.12
19501004,   1.30
19501005,  -0.19
19501006,   0.73
19501007,   0.05
19501009,  -0.28
19501010,  -0.40
19501011,   0.54
19501013,   0.05
19501014,  -0.48
19501016,   0.17
19501017,   0.47
19501018,   0.52
19501019,  -0.28
19501020,  -0.23
19501021,   0.42
19501023,  -0.16
19501024,   0.07
19501025,  -0.31
19501026,  -1.29
19501027,   0.68
19501028,   0.40
19501030,  -0.78
19501031,  -0.28
19501101,   0.46
19501102,   0.78
19501103,   0.03
19501104,  -0.35
19501106,  -1.00
19501108,   1.14
19501109,   1.22
19501110,   0.18
19501113,   0.33
19501114,   0.27
19501115,  -0.12
19501116,  -0.16
19501117,   0.80
19501118,   0.14
19501120,  -0.46
19501121,   0.23
19501122,   0.77
19501124,   0.15
19501125,  -0.15
19501127,  -0.34
19501128,  -0.88
19501129,  -0.30
19501130,   0.68
19501201,   0.79
19501202,  -0.31
19501204,  -0.95
19501205,   1.19
19501206,   1.00
19501207,  -0.15
19501208,   0.56
19501209,  -0.02
19501211,   0.57
19501212,  -0.07
19501213,   0.07
19501214,  -0.53
19501215,   0.39
19501216,   1.35
19501218,   1.15
19501219,   0.61
19501220,  -0.05
19501221,  -1.18
19501222,  -0.20
19501226,  -0.17
19501227,   0.98
19501228,  -0.02
19501229,  -0.50
19501230,   0.19
19510102,   0.18
19510103,  -0.26
19510104,   0.40
19510105,  -0.25
19510106,  -0.24
19510108,   0.00
19510109,   0.26
19510110,  -0.80
19510111,   0.60
19510112,  -0.31
19510113,   0.07
19510115,   0.78
19510116,   0.37
19510117,   0.55
19510118,  -0.29
19510119,  -0.37
19510120,  -0.26
19510122,  -0.74
19510123,  -0.03
19510124,  -0.13
19510125,  -0.68
19510126,   0.81
19510127,   0.98
19510129,   0.18
19510130,   0.22
19510131,  -0.23
19510201,   0.42
19510202,   0.20
19510203,   0.15
19510205,  -0.27
19510206,  -0.27
19510207,  -0.13
19510208,   0.51
19510209,   0.46
19510210,   0.08
19510213,  -0.19
19510214,  -0.38
19510215,  -0.08
19510216,   0.21
19510217,   0.40
19510219,  -0.92
19510220,   0.14
19510221,   0.13
19510223,  -0.19
19510224,  -0.15
19510226,  -0.85
19510227,  -0.65
19510228,   0.00
19510301,   0.60
19510302,   0.02
19510303,  -0.18
19510305,  -0.54
19510306,  -0.32
19510307,   0.06
19510308,   0.16
19510309,   0.06
19510310,  -0.25
19510312,  -0.74
19510313,  -1.19
19510314,  -0.52
19510315,  -0.58
19510316,   1.33
19510317,   0.02
19510319,  -0.73
19510320,  -0.22
19510321,   0.24
19510322,   0.24
19510324,  -1.19
19510326,   0.26
19510327,  -0.05
19510328,  -0.86
19510329,   0.29
19510330,   0.68
19510331,  -0.10
19510402,  -0.34
19510403,   0.07
19510404,   0.61
19510405,   1.19
19510406,   0.30
19510407,  -0.19
19510409,   0.13
19510410,  -0.05
19510411,  -0.35
19510412,   0.89
19510413,   1.04
19510414,   0.51
19510416,  -0.36
19510417,   0.09
19510418,   0.46
19510419,  -0.27
19510420,  -0.31
19510421,   0.05
19510423,  -0.03
19510424,  -0.23
19510425,   0.16
19510426,   0.78
19510427,   0.78
19510428,   0.10
19510430,  -0.12
19510501,   0.08
19510502,   0.31
19510503,   0.31
19510504,   0.03
19510505,  -0.08
19510507,  -0.23
19510508,   0.26
19510509,   0.07
19510510,  -0.06
19510511,  -0.25
19510512,  -0.34
19510514,   0.04
19510515,  -1.15
19510516,  -0.31
19510517,   0.69
19510518,  -1.37
19510519,  -0.10
19510521,  -0.43
19510522,  -0.27
19510523,  -0.61
19510524,  -0.28
19510525,   0.18
19510526,  -0.03
19510528,   0.52
19510529,   0.49
19510531,   0.30
19510601,  -0.14
19510604,  -0.99
19510605,   0.29
19510606,   0.53
19510607,   0.83
19510608,  -0.11
19510611,   0.65
19510612,  -0.20
19510613,   0.30
19510614,   0.80
19510615,   0.50
19510618,   0.05
19510619,  -0.32
19510620,  -0.18
19510621,  -0.34
19510622,  -0.70
19510625,  -1.15
19510626,   0.49
19510627,   0.40
19510628,  -0.78
19510629,  -0.57
19510702,   0.01
19510703,   0.57
19510705,   1.02
19510706,  -0.24
19510709,   0.33
19510710,  -0.23
19510711,   0.19
19510712,   0.06
19510713,   0.52
19510716,  -0.59
19510717,   0.25
19510718,  -0.16
19510719,   0.45
19510720,   0.54
19510723,   0.71
19510724,   1.12
19510725,  -0.28
19510726,   0.63
19510727,   0.36
19510730,   0.79
19510731,  -0.10
19510801,   0.30
19510802,   0.08
19510803,   0.05
19510806,   0.26
19510807,  -0.01
19510808,  -0.46
19510809,  -0.19
19510810,  -0.26
19510813,   0.16
19510814,  -0.05
19510815,  -0.03
19510816,   0.21
19510817,  -0.05
19510820,  -0.20
19510821,   0.00
19510822,  -0.10
19510823,   0.82
19510824,   0.24
19510827,  -0.06
19510828,   0.21
19510829,   0.26
19510830,   0.29
19510831,  -0.16
19510904,   0.08
19510905,   0.24
19510906,   0.02
19510907,   0.17
19510910,  -0.03
19510911,  -0.24
19510912,   0.35
19510913,   0.43
19510914,  -0.05
19510917,  -0.39
19510918,   0.11
19510919,   0.11
19510920,  -0.05
19510921,  -0.56
19510924,  -0.17
19510925,  -0.02
19510926,   0.01
19510927,  -0.18
19510928,   0.01
19511001,   0.24
19511002,   0.44
19511003,   0.54
19511004,   0.05
19511005,  -0.23
19511006,  -0.03
19511008,  -0.07
19511009,  -0.30
19511010,  -0.47
19511011,   0.36
19511013,   0.16
19511015,   0.11
19511016,  -0.05
19511017,  -0.10
19511018,   0.12
19511019,  -1.13
19511020,  -0.60
19511022,  -1.07
19511023,   0.88
19511024,   0.35
19511025,  -0.30
19511026,  -0.45
19511027,  -1.11
19511029,   1.28
19511030,  -0.15
19511031,   0.72
19511101,   0.62
19511102,  -0.47
19511103,  -0.55
19511105,   0.20
19511107,  -0.57
19511108,   0.10
19511109,   0.60
19511110,   0.00
19511113,   0.17
19511114,   0.20
19511115,  -0.11
19511116,  -0.19
19511117,   0.15
19511119,  -0.01
19511120,  -0.19
19511121,   0.06
19511123,  -0.60
19511124,  -0.23
19511126,   0.26
19511127,   0.26
19511128,  -0.01
19511129,   0.12
19511130,   0.14
19511201,   0.02
19511203,   0.13
19511204,   0.12
19511205,   0.18
19511206,  -0.29
19511207,   0.00
19511208,  -0.18
19511210,  -0.06
19511211,   0.08
19511212,   0.20
19511213,   0.20
19511214,   0.20
19511215,  -0.09
19511217,   0.19
19511218,  -0.01
19511219,  -0.12
19511220,   0.43
19511221,   0.05
19511222,  -0.13
19511224,  -0.13
19511226,  -0.07
19511227,   0.06
19511228,   0.37
19511229,   0.07
19511231,   0.24
19520102,  -0.50
19520103,  -0.34
19520104,  -0.35
19520105,  -0.25
19520107,   0.02
19520108,   0.15
19520109,  -0.08
19520110,   0.11
19520111,   0.45
19520112,   0.22
19520114,   0.20
19520115,   0.20
19520116,  -0.13
19520117,   0.23
19520118,   0.04
19520119,  -0.06
19520121,   0.08
19520122,   0.64
19520123,   0.06
19520124,   0.59
19520125,   0.56
19520126,   0.18
19520128,   0.00
19520129,  -0.01
19520130,  -0.69
19520131,  -0.32
19520201,   0.39
19520202,   0.04
19520204,  -0.40
19520205,  -0.32
19520206,  -0.04
19520207,  -0.06
19520208,  -0.05
19520209,   0.10
19520211,  -0.19
19520213,  -0.29
19520214,  -0.14
19520215,  -0.11
19520216,  -0.13
19520218,  -0.20
19520219,  -0.88
19520220,  -0.63
19520221,   0.10
19520223,   0.51
19520225,  -0.29
19520226,  -0.18
19520227,  -0.02
19520228,   0.39
19520229,  -0.11
19520301,   0.07
19520303,   0.22
19520304,   0.09
19520305,   0.10
19520306,   0.31
19520307,   0.27
19520308,   0.23
19520310,   0.14
19520311,  -0.03
19520312,  -0.09
19520313,   0.26
19520314,   0.10
19520315,   0.38
19520317,   0.43
19520318,  -0.23
19520319,  -0.25
19520320,  -0.39
19520321,   0.02
19520322,   0.03
19520324,  -0.01
19520325,  -0.04
19520326,  -0.02
19520327,   0.10
19520328,  -0.16
19520329,  -0.23
19520331,   0.02
19520401,  -0.19
19520402,  -0.11
19520403,   0.49
19520404,  -0.18
19520405,   0.00
19520407,   0.05
19520408,   0.31
19520409,   0.17
19520410,   0.35
19520412,   0.13
19520414,  -0.47
19520415,  -0.67
19520416,  -0.21
19520417,  -0.51
19520418,   0.13
19520419,  -0.16
19520421,   0.38
19520422,  -0.09
19520423,  -0.10
19520424,  -0.03
19520425,   0.01
19520426,   0.17
19520428,   0.11
19520429,   0.00
19520430,   0.10
19520501,  -0.31
19520502,   0.23
19520503,   0.00
19520505,   0.24
19520506,   0.28
19520507,   0.22
19520508,   0.02
19520509,  -0.17
19520510,  -0.11
19520512,   0.28
19520513,  -0.06
19520514,  -0.15
19520515,  -0.16
19520516,  -0.06
19520517,  -0.04
19520519,   0.09
19520520,  -0.10
19520521,  -0.17
19520522,   0.15
19520523,  -0.03
19520524,  -0.06
19520526,   0.02
19520527,   0.01
19520528,  -0.07
19520529,   0.12
19520602,  -0.08
19520603,  -0.06
19520604,   0.27
19520605,   0.07
19520606,  -0.07
19520609,  -0.07
19520610,   0.01
19520611,   0.24
19520612,  -0.06
19520613,   0.06
19520616,   0.20
19520617,   0.04
19520618,   0.21
19520619,  -0.07
19520620,   0.07
19520623,   0.12
19520624,   0.00
19520625,   0.08
19520626,   0.20
19520627,  -0.03
19520630,   0.13
19520701,  -0.06
19520702,  -0.07
19520703,   0.18
19520707,   0.06
19520708,  -0.17
19520709,  -0.19
19520710,   0.13
19520711,   0.15
19520714,  -0.09
19520715,   0.00
19520716,  -0.15
19520717,   0.05
19520718,  -0.38
19520721,   0.14
19520722,   0.30
19520723,   0.07
19520724,  -0.21
19520725,  -0.01
19520728,   0.20
19520729,   0.09
19520730,   0.11
19520731,  -0.08
19520801,   0.08
19520804,   0.15
19520805,  -0.05
19520806,   0.02
19520807,   0.20
19520808,   0.09
19520811,   0.01
19520812,   0.07
19520813,  -0.17
19520814,  -0.12
19520815,  -0.08
19520818,  -0.17
19520819,   0.25
19520820,   0.29
19520821,   0.09
19520822,   0.05
19520825,   0.04
19520826,  -0.04
19520827,   0.25
19520828,  -0.06
19520829,   0.13
19520902,   0.26
19520903,   0.29
19520904,   0.22
19520905,   0.18
19520908,   0.07
19520909,  -0.14
19520910,  -0.30
19520911,   0.20
19520912,   0.31
19520915,  -0.03
19520916,   0.04
19520917,   0.28
19520918,  -0.03
19520919,   0.22
19520922,   0.18
19520923,   0.26
19520924,   0.10
19520925,   0.13
19520926,   0.30
19520929,   0.13
19520930,   0.15
19521001,   0.08
19521002,   0.21
19521003,   0.01
19521006,   0.16
19521007,   0.06
19521008,   0.44
19521009,   0.01
19521010,  -0.01
19521014,   0.46
19521015,  -0.54
19521016,   0.26
19521017,   0.20
19521020,   0.06
19521021,   0.24
19521022,   0.25
19521023,   0.09
19521024,   0.11
19521027,   0.08
19521028,   0.31
19521029,   0.07
19521030,   0.20
19521031,  -0.27
19521103,  -0.42
19521105,   0.05
19521106,   0.55
19521107,   0.14
19521110,   0.23
19521112,   0.37
19521113,   0.25
19521114,   0.26
19521117,   0.17
19521118,  -0.64
19521119,  -0.41
19521120,   0.07
19521121,   0.04
19521124,  -0.24
19521125,  -0.23
19521126,  -0.09
19521128,  -0.19
19521201,   0.07
19521202,   0.27
19521203,   0.15
19521204,   0.14
19521205,   0.11
19521208,   0.07
19521209,   0.04
19521210,   0.23
19521211,  -0.18
19521212,   0.09
19521215,   0.04
19521216,   0.19
19521217,   0.18
19521218,  -0.08
19521219,  -0.09
19521222,   0.21
19521223,  -0.04
19521224,  -0.69
19521226,  -0.17
19521229,   0.36
19521230,   0.00
19521231,  -0.01
19530102,  -0.99
19530105,  -0.48
19530106,   0.08
19530107,   0.12
19530108,   0.15
19530109,   0.19
19530112,  -0.07
19530113,  -0.18
19530114,   0.22
19530115,   0.08
19530116,   0.11
19530119,   0.14
19530120,   0.39
19530121,  -0.01
19530122,   0.09
19530123,   0.07
19530126,   0.05
19530127,   0.19
19530128,   0.30
19530129,   0.13
19530130,   0.00
19530202,   0.29
19530203,   0.29
19530204,   0.04
19530205,  -0.09
19530206,  -0.41
19530209,  -0.15
19530210,  -0.12
19530211,   0.16
19530213,   0.30
19530216,   0.17
19530217,   0.08
19530218,   0.15
19530219,   0.19
19530220,   0.10
19530224,   0.10
19530225,  -0.34
19530226,  -0.30
19530227,  -0.26
19530302,  -0.12
19530303,  -0.06
19530304,   0.16
19530305,  -0.08
19530306,   0.01
19530309,   0.18
19530310,   0.31
19530311,   0.12
19530312,   0.07
19530313,   0.10
19530316,   0.14
19530317,   0.34
19530318,  -0.08
19530319,  -0.14
19530320,  -0.09
19530323,   0.20
19530324,  -0.33
19530325,  -0.02
19530326,  -0.42
19530327,  -0.22
19530330,  -0.59
19530331,  -0.33
19530401,  -0.51
19530402,   0.01
19530406,  -0.22
19530407,   0.10
19530408,   0.82
19530409,   0.12
19530410,   0.16
19530413,   0.09
19530414,   0.30
19530415,   0.13
19530416,  -0.20
19530417,  -0.17
19530420,  -0.17
19530421,   0.17
19530422,   0.07
19530423,   0.16
19530424,   0.20
19530427,   0.36
19530428,   0.26
19530429,  -0.04
19530430,   0.10
19530501,  -0.09
19530504,   0.17
19530505,   0.29
19530506,   0.07
19530507,  -0.13
19530508,   0.19
19530511,   0.18
19530512,   0.09
19530513,   0.00
19530514,   0.08
19530515,   0.30
19530518,   0.14
19530519,  -0.21
19530520,  -0.01
19530521,  -0.18
19530522,  -0.08
19530525,   0.09
19530526,  -0.05
19530527,   0.07
19530528,  -0.07
19530529,   0.18
19530601,  -0.43
19530602,   0.13
19530603,   0.00
19530604,  -0.26
19530605,   0.01
19530608,   0.06
19530609,  -0.43
19530610,  -0.21
19530611,  -0.03
19530612,  -0.03
19530615,   0.42
19530616,  -0.18
19530617,   0.32
19530618,  -0.05
19530619,   0.11
19530622,   0.01
19530623,  -0.05
19530624,   0.06
19530625,   0.37
19530626,   0.04
19530629,   0.25
19530630,   0.19
19530701,  -0.08
19530702,   0.01
19530703,  -0.07
19530706,   0.13
19530707,  -0.04
19530708,   0.02
19530709,   0.09
19530710,   0.01
19530713,   0.02
19530714,  -0.03
19530715,  -0.07
19530716,   0.34
19530717,  -0.06
19530720,  -0.07
19530721,  -0.06
19530722,   0.07
19530723,   0.06
19530724,  -0.18
19530727,   0.01
19530728,   0.01
19530729,  -0.13
19530730,  -0.04
19530731,  -0.34
19530803,  -0.15
19530804,   0.25
19530805,   0.23
19530806,   0.23
19530807,   0.03
19530810,  -0.06
19530811,   0.19
19530812,   0.24
19530813,   0.06
19530814,   0.38
19530817,   0.22
19530818,  -0.14
19530819,   0.07
19530820,   0.17
19530821,  -0.12
19530824,   0.10
19530825,  -0.14
19530826,  -0.02
19530827,   0.16
19530828,   0.15
19530831,  -0.27
19530901,  -0.15
19530902,   0.48
19530903,   0.24
19530904,   0.10
19530908,   0.16
19530909,   0.22
19530910,   0.38
19530911,  -0.29
19530914,   0.04
19530915,   0.15
19530916,   0.07
19530917,  -0.12
19530918,   0.13
19530921,   0.30
19530922,   0.00
19530923,  -0.11
19530924,   0.20
19530925,   0.15
19530928,  -0.16
19530929,   0.27
19530930,   0.70
19531001,   0.13
19531002,   0.46
19531005,   0.24
19531006,  -0.07
19531007,   0.02
19531008,   0.26
19531009,   0.11
19531013,   0.25
19531014,  -0.13
19531015,  -0.75
19531016,  -0.54
19531019,   0.07
19531020,   0.27
19531021,   0.06
19531022,   0.50
19531023,   0.13
19531026,   0.08
19531027,   0.13
19531028,  -0.01
19531029,  -0.35
19531030,  -0.07
19531102,   0.06
19531104,   0.52
19531105,  -0.61
19531106,  -0.02
19531109,   0.16
19531110,   0.09
19531112,   0.06
19531113,   0.02
19531116,   0.21
19531117,   0.11
19531118,   0.12
19531119,   0.23
19531120,   0.22
19531123,   0.43
19531124,   0.55
19531125,   0.03
19531127,  -0.39
19531130,  -0.27
19531201,  -0.02
19531202,   0.11
19531203,   0.02
19531204,  -0.08
19531207,   0.48
19531208,   0.44
19531209,   0.10
19531210,   0.42
19531211,   0.37
19531214,   0.35
19531215,   0.41
19531216,   0.00
19531217,  -0.11
19531218,   0.16
19531221,   1.01
19531222,   0.03
19531223,   0.06
19531224,  -0.12
19531228,   0.88
19531229,   0.22
19531230,  -0.17
19531231,   0.77
19540104,  -2.31
19540105,  -1.58
19540106,  -0.49
19540107,   0.45
19540108,   0.14
19540111,   0.20
19540112,  -0.19
19540113,  -0.28
19540114,  -0.01
19540115,  -0.23
19540118,  -0.47
19540119,  -0.49
19540120,  -0.20
19540121,  -0.04
19540122,  -0.09
19540125,   0.14
19540126,  -0.01
19540127,   0.02
19540128,   0.04
19540129,   0.04
19540201,   0.18
19540202,   0.28
19540203,  -0.07
19540204,  -0.06
19540205,  -0.14
19540208,   0.12
19540209,  -0.02
19540210,  -0.07
19540211,   0.35
19540212,  -0.26
19540215,   0.32
19540216,   0.29
19540217,  -0.16
19540218,   0.09
19540219,   0.09
19540223,   0.21
19540224,   0.26
19540225,   0.06
19540226,   0.36
19540301,   0.47
19540302,   0.11
19540303,   0.20
19540304,   0.05
19540305,  -0.25
19540308,   0.43
19540309,  -0.11
19540310,   0.04
19540311,   0.17
19540312,   0.25
19540315,  -0.15
19540316,   0.21
19540317,  -0.20
19540318,  -0.15
19540319,  -0.02
19540322,   0.14
19540323,   0.45
19540324,   0.20
19540325,   0.40
19540326,   0.15
19540329,  -0.01
19540330,  -0.12
19540331,  -0.07
19540401,  -0.12
19540402,  -0.07
19540405,   0.08
19540406,   0.04
19540407,   0.17
19540408,   0.05
19540409,  -0.22
19540412,   0.05
19540413,   0.00
19540414,   0.81
19540415,   0.63
19540419,   0.32
19540420,   0.37
19540421,   0.42
19540422,   0.36
19540423,   0.41
19540426,   0.43
19540427,   0.40
19540428,  -0.16
19540429,   0.73
19540430,   0.70
19540503,   0.35
19540504,  -0.33
19540505,   0.31
19540506,  -0.05
19540507,  -0.17
19540510,  -0.17
19540511,  -0.38
19540512,  -0.21
19540513,   0.00
19540514,  -0.12
19540517,   0.02
19540518,   0.03
19540519,  -0.11
19540520,  -0.29
19540521,  -0.04
19540524,  -0.02
19540525,   0.13
19540526,  -0.04
19540527,   0.09
19540528,   0.07
19540601,   0.45
19540602,   0.37
19540603,  -0.12
19540604,  -0.20
19540607,  -0.11
19540608,  -0.46
19540609,  -0.26
19540610,   0.27
19540611,   0.45
19540614,   0.26
19540615,   0.30
19540616,   0.27
19540617,   0.12
19540618,   0.03
19540621,   0.38
19540622,   0.96
19540623,  -0.24
19540624,   0.39
19540625,   0.48
19540628,   0.70
19540629,  -0.06
19540630,  -0.21
19540701,   0.26
19540702,   0.45
19540706,   0.45
19540707,  -0.25
19540708,   0.07
19540709,   0.19
19540712,  -0.04
19540713,  -0.35
19540714,  -0.20
19540715,  -0.18
19540716,   0.04
19540719,   0.32
19540720,  -0.13
19540721,  -0.13
19540722,  -0.07
19540723,  -0.28
19540726,  -0.07
19540727,  -0.06
19540728,  -0.29
19540729,   0.31
19540730,   0.19
19540802,  -0.13
19540803,   0.03
19540804,   0.27
19540805,  -0.08
19540806,   0.24
19540809,  -0.18
19540810,   0.30
19540811,  -0.01
19540812,   0.04
19540813,  -0.49
19540816,  -0.28
19540817,  -0.15
19540818,   0.00
19540819,   0.63
19540820,   0.19
19540823,  -0.44
19540824,   0.17
19540825,  -0.01
19540826,  -0.37
19540827,   0.11
19540830,  -0.43
19540831,  -1.06
19540901,   0.82
19540902,   0.36
19540903,   0.16
19540907,   0.44
19540908,   0.10
19540909,  -0.22
19540910,  -0.09
19540913,   0.28
19540914,   0.19
19540915,   0.22
19540916,   0.16
19540917,   0.45
19540920,  -0.39
19540921,   0.17
19540922,   0.13
19540923,   0.02
19540924,   0.20
19540927,   0.04
19540928,   0.39
19540929,  -0.51
19540930,  -0.43
19541001,  -0.21
19541004,   0.47
19541005,   0.17
19541006,   0.24
19541007,  -0.06
19541008,  -0.06
19541011,  -0.27
19541012,  -0.03
19541013,  -0.04
19541014,  -0.38
19541015,  -0.03
19541018,   0.05
19541019,   0.11
19541020,   0.34
19541021,   0.05
19541022,   0.43
19541025,   0.00
19541026,   0.14
19541027,   0.13
19541028,  -0.01
19541029,  -0.38
19541101,   0.02
19541103,   1.03
19541104,   0.36
19541105,  -0.22
19541108,   0.24
19541109,  -0.05
19541110,   0.04
19541111,   0.17
19541112,  -0.18
19541115,  -0.21
19541116,   0.16
19541117,  -0.13
19541118,  -0.29
19541119,  -0.11
19541122,   0.04
19541123,   0.76
19541124,   0.13
19541126,   0.27
19541129,  -0.38
19541130,  -0.27
19541201,   0.07
19541202,  -0.46
19541203,  -0.05
19541206,  -0.22
19541207,  -0.08
19541208,  -0.52
19541209,  -0.24
19541210,  -0.14
19541213,   0.12
19541214,  -0.09
19541215,   0.11
19541216,   0.54
19541217,   0.21
19541220,   0.24
19541221,   0.03
19541222,  -0.10
19541223,  -0.34
19541227,  -0.39
19541228,   0.28
19541229,   0.29
19541230,  -0.03
19541231,   0.09
19550103,   0.42
19550104,  -0.61
19550105,  -0.80
19550106,  -0.34
19550107,   0.63
19550110,   0.69
19550111,  -0.42
19550112,  -0.11
19550113,  -0.10
19550114,  -0.17
19550117,  -1.11
19550118,   0.45
19550119,   0.34
19550120,   0.17
19550121,   0.32
19550124,   0.32
19550125,   0.20
19550126,   1.06
19550127,   0.14
19550128,   0.34
19550131,   0.32
19550201,   0.14
19550202,  -0.09
19550203,  -0.09
19550204,   0.89
19550207,  -0.03
19550208,  -0.95
19550209,   0.48
19550210,   0.55
19550211,  -0.03
19550214,  -0.07
19550215,   0.67
19550216,   0.11
19550217,   0.10
19550218,   0.03
19550221,  -0.32
19550223,  -0.28
19550224,  -0.25
19550225,   0.03
19550228,   0.14
19550301,   0.05
19550302,   0.30
19550303,   0.07
19550304,   0.14
19550307,  -0.41
19550308,  -1.09
19550309,  -0.49
19550310,   0.88
19550311,  -0.91
19550314,  -0.79
19550315,   1.53
19550316,   0.50
19550317,   0.39
19550318,  -0.13
19550321,  -0.42
19550322,   0.71
19550323,   1.09
19550324,   0.09
19550325,   0.03
19550328,  -0.05
19550329,   0.42
19550330,  -1.00
19550331,   0.48
19550401,   0.25
19550404,  -0.67
19550405,   0.29
19550406,   0.15
19550407,  -0.02
19550411,  -0.28
19550412,   0.14
19550413,  -0.02
19550414,  -0.05
19550415,   0.57
19550418,   0.25
19550419,  -0.06
19550420,   0.05
19550421,   0.19
19550422,  -0.30
19550425,   0.26
19550426,   0.03
19550427,  -0.26
19550428,  -0.72
19550429,   0.49
19550502,  -0.19
19550503,  -1.12
19550504,   0.29
19550505,   0.34
19550506,   0.60
19550509,   0.18
19550510,  -0.44
19550511,  -0.88
19550512,  -0.38
19550513,   0.20
19550516,  -0.86
19550517,  -0.24
19550518,   1.06
19550519,   0.61
19550520,   0.28
19550523,  -0.29
19550524,   0.10
19550525,   0.64
19550526,   0.61
19550527,  -0.07
19550531,  -0.04
19550601,   0.18
19550602,   0.28
19550603,   0.41
19550606,   0.28
19550607,   0.79
19550608,   0.41
19550609,  -0.56
19550610,   0.46
19550613,   0.12
19550614,  -0.19
19550615,   0.37
19550616,  -0.10
19550617,  -0.02
19550620,  -0.08
19550621,   0.12
19550622,   0.15
19550623,   0.34
19550624,  -0.09
19550627,   0.34
19550628,  -0.35
19550629,   0.32
19550630,   0.60
19550701,   0.13
19550705,   0.50
19550706,  -0.43
19550707,  -1.48
19550708,  -0.14
19550711,   0.34
19550712,  -0.62
19550713,  -0.71
19550714,   0.35
19550715,   0.42
19550718,   0.09
19550719,  -0.90
19550720,  -0.01
19550721,   0.37
19550722,   0.63
19550725,   0.22
19550726,   0.03
19550727,  -0.01
19550728,  -0.39
19550729,  -0.50
19550801,  -0.93
19550802,   0.10
19550803,   0.14
19550804,  -0.89
19550805,   0.31
19550808,  -0.20
19550809,  -0.66
19550810,   0.11
19550811,   0.86
19550812,   0.12
19550815,  -0.26
19550816,  -0.14
19550817,   0.17
19550818,   0.24
19550819,   0.17
19550822,   0.02
19550823,   0.68
19550824,   0.43
19550825,   0.08
19550826,   0.39
19550829,   0.10
19550830,  -0.13
19550831,   0.06
19550901,   0.26
19550902,   0.29
19550906,   0.49
19550907,   0.04
19550908,   0.00
19550909,  -0.11
19550912,   0.63
19550913,   0.73
19550914,   0.25
19550915,  -0.19
19550916,   0.80
19550919,  -0.17
19550920,   0.21
19550921,   0.13
19550922,  -0.12
19550923,   0.22
19550926,  -2.97
19550927,   1.18
19550928,   1.00
19550929,  -0.13
19550930,  -0.25
19551003,  -1.29
19551004,   0.50
19551005,   0.24
19551006,  -0.47
19551007,  -0.46
19551010,  -1.62
19551011,  -0.25
19551012,   0.83
19551013,  -0.07
19551014,   0.25
19551017,   0.28
19551018,   0.31
19551019,   0.61
19551020,   0.83
19551021,   0.19
19551024,   0.12
19551025,  -0.28
19551026,  -0.14
19551027,  -0.07
19551028,   0.14
19551031,   0.10
19551101,  -0.15
19551102,   0.03
19551103,   0.67
19551104,   0.77
19551107,   0.34
19551109,   0.79
19551110,   0.26
19551111,   0.16
19551114,   1.26
19551115,   0.09
19551116,  -0.41
19551117,  -0.36
19551118,  -0.22
19551121,  -0.37
19551122,   0.30
19551123,  -0.19
19551125,  -0.22
19551128,  -0.26
19551129,  -0.45
19551130,  -0.52
19551201,  -0.46
19551202,  -0.04
19551205,   0.26
19551206,  -0.11
19551207,  -0.34
19551208,  -0.11
19551209,   0.09
19551212,  -0.05
19551213,   0.14
19551214,  -0.16
19551215,  -0.10
19551216,   0.03
19551219,  -0.23
19551220,  -0.12
